ID,Name,Latitude,Longitude,Coordinates
1,Jagannath Temple,23.31688845,85.28180377943092,"23.31688845, 85.28180377943092"
2,Babar Mahal,27.6944412,85.322931,"27.6944412, 85.322931"
4,Kakani,27.8223196,85.24410689057984,"27.8223196, 85.24410689057984"
5,Nagarkot,27.718508,85.51973,"27.718508, 85.51973"
6,Langtang National Park,28.17412075,85.59624935181398,"28.17412075, 85.59624935181398"
7,Durbar Square Kathmandu,27.704304,85.30673908097647,"27.704304, 85.30673908097647"
8,Garden of Dreams,55.86808365,-4.388371990887791,"55.86808365, -4.388371990887791"
10,Chandragiri,13.5842501,79.3166721,"13.5842501, 79.3166721"
11,Royal Botanical Gardens,7.27065085,80.59633948381119,"7.27065085, 80.59633948381119"
12,Ashok Binayak,27.705471507668847,85.30414684240523,"27.705471507668847, 85.30414684240523"
13,Indra Chowk,27.7060235,85.3096118,"27.7060235, 85.3096118"
14,Chisapani,27.7970753,82.7929372,"27.7970753, 82.7929372"
15,Phulchoki,27.5710397,85.4067119,"27.5710397, 85.4067119"
16,Singha Durbar,27.6223948,83.4601292,"27.6223948, 83.4601292"
17,Kathesimbhu Stupa,27.7095419,85.3097563,"27.7095419, 85.3097563"
18,Rani Pokhari,27.70781555,85.31534706613229,"27.70781555, 85.31534706613229"
19,Pashupatinath Temple,51.48040995,0.09264159400597663,"51.48040995, 0.09264159400597663"
20,Thamel,27.717028,85.311256,"27.717028, 85.311256"
21,Kulekhani,27.572155656864894,85.19611047246411,"27.572155656864894, 85.19611047246411"
22,White Monastery,26.5345462,31.645732192050428,"26.5345462, 31.645732192050428"
23,Bajrayogini Temple,27.7437762,85.4672307705761,"27.7437762, 85.4672307705761"
24,Kumari House,27.70374005,85.3065363903103,"27.70374005, 85.3065363903103"
25,Bhaktapur,27.704332,85.452118,"27.704332, 85.452118"
26,Taudaha Lake,27.648765400000002,85.28215830959722,"27.648765400000002, 85.28215830959722"
27,Kirtipur,27.676664,85.2782438,"27.676664, 85.2782438"
28,Asan,44.8745884,8.2677909,"44.8745884, 8.2677909"
29,Kopan Monastery,27.742202499999998,85.36387862200078,"27.742202499999998, 85.36387862200078"
30,Lakuri Bhanjyang,27.6185179,85.4129359,"27.6185179, 85.4129359"
31,Casino Royale,49.769155492491464,-119.46787727735746,"49.769155492491464, -119.46787727735746"
32,Narayanhiti Palace,27.7148956,85.3181031,"27.7148956, 85.3181031"
33,Shivapuri Nagarjun National Park,27.8147464,85.3922872,"27.8147464, 85.3922872"
34,Dhulikhel,27.61765575,85.56349552503448,"27.61765575, 85.56349552503448"
35,Khawalung Monastery,27.733933,85.3679829,"27.733933, 85.3679829"
37,Helambu,28.00597815,85.53129492889241,"28.00597815, 85.53129492889241"
38,Ratna Park,27.7064893,85.314516,"27.7064893, 85.314516"
39,Freak Street,27.70256738031683,85.3076280758681,"27.70256738031683, 85.3076280758681"
41,Dakshinkali Temple,27.6052581,85.2634891,"27.6052581, 85.2634891"
42,Patan Durbar Square,27.6734454,85.3250350121863,"27.6734454, 85.3250350121863"
43,Shechen Monastery,27.72443045,85.36067245483228,"27.72443045, 85.36067245483228"
44,Boudhanath (Stupa),27.72139105,85.36203993485958,"27.72139105, 85.36203993485958"
45,Kasthamandap,27.7039982,85.30578833101004,"27.7039982, 85.30578833101004"
48,Namo Buddha,27.5716685,85.5840024,"27.5716685, 85.5840024"
