locations,Co_ordinates,latitude,longitude,,,
Pashupatinath Temple,"27.71057,85.34874",27.71057,85.34874,,,
Boudhanath (Stupa),"27.72143,85.362",27.72143,85.362,,,
Swayambhunath Stupa,"27.71494,85.29039",27.71494,85.29039,,,
Thamel,"27.71703,85.31126",27.71703,85.31126,,,
Kopan Monastery,"27.7422,85.36388",27.7422,85.36388,,,
Garden of Dreams,"27.71412,85.31481",27.71412,85.31481,,,
Kathmandu Durbar Square,"27.70452,85.30697",27.70452,85.30697,,,
Hanuman Dhoka Temple,"27.70423,85.30754",27.70423,85.30754,,,
Kumari House,"27.70374,85.30654",27.70374,85.30654,,,
Buddha Nilkanth,"27.77809,85.36232",27.77809,85.36232,,,
Narayanhiti Palace,"27.71628,85.32028",27.71628,85.32028,,,
Indra Chowk,"27.70594,85.30967",27.70594,85.30967,,,
Jagannath Temple,"27.69202,85.30258",27.69202,85.30258,,,
Freak Street,"27.70271,85.30766",27.70271,85.30766,,,
Kasthamandap,"27.704,85.30579",27.704,85.30579,,,
Asan,"27.70939,85.31228",27.70939,85.31228,,,
Taudaha Lake,"27.64965,85.28284",27.64965,85.28284,,,
Kathesimbhu Stupa,"27.70957,85.3098",27.70957,85.3098,,,
Dakshinkali Temple,"27.60526,85.26349",27.60526,85.26349,,,
National Museum of Nepal,"27.7055,85.28914",27.7055,85.28914,,,
White Monastery,"27.72358,85.36908",27.72358,85.36908,,,
Bajrayogini Temple,"27.74378,85.46723",27.74378,85.46723,,,
Royal Botanical Gardens,"27.59699,85.38327",27.59699,85.38327,,,
Seto Machindranath Temple,"27.71127,85.33932",27.71127,85.33932,,,
Tribhuvan Museum,"27.70423,85.30754",27.70423,85.30754,,,
Rani Pokhari,"27.70782,85.31535",27.70782,85.31535,,,
Ratna Park,"27.70649,85.31452",27.70649,85.31452,,,
Babar Mahal,"27.69444,85.32293",27.69444,85.32293,,,
Singha Durbar,"27.69648,85.32462",27.69648,85.32462,,,
Basantapur Tower,"27.70404,85.30709",27.70404,85.30709,,,
Ashok Binayak,"27.7055,85.3042",27.7055,85.3042,,,
Pilgrims Book House,"27.71375,85.31015",27.71375,85.31015,,,
Shechen Monastery,"27.72445,85.3608",27.72445,85.3608,,,
Khawalung Monastery,"27.73393,85.36798",27.73393,85.36798,,,
Patan Durbar Square,"27.6734,85.32506",27.6734,85.32506,,,
Nagarkot,"27.69217,85.5199",27.69217,85.5199,,,
Chandragiri,"27.69263,85.22467",27.69263,85.22467,,,
Shivapuri Nagarjun National Park,"27.81475,85.39229",27.81475,85.39229,,,
Bhaktapur Durbar Square,"27.70452,85.45155",27.70452,85.45155,,,
Chisapani,"27.77243,85.28793",27.77243,85.28793,,,
Dhulikhel,"27.62188,85.5722",27.62188,85.5722,,,
Kirtipur,"27.67654,85.27824",27.67654,85.27824,,,
Phulchoki,"27.5749,85.36864",27.5749,85.36864,,,
Kulekhani,"27.56204,85.21998",27.56204,85.21998,,,
Lakuri Bhanjyang,"27.61961,85.41427",27.61961,85.41427,,,
Namo Buddha,"27.57137,85.58453",27.57137,85.58453,,,
Kakani,"27.82255,85.24428",27.82255,85.24428,,,
Helambu,"28.00799,85.53386",28.00799,85.53386,,,
Jump KTM,"27.7353701,85.34744291",27.7353701,85.34744291,,,
Art in Paradise Nepal,"27.7014958,85.31308042",27.7014958,85.31308042,,,
Whoopee Land,"27.66180365,85.28689587",27.66180365,85.28689587,,,
Astrek Park,"27.71557915,85.3124924",27.71557915,85.3124924,,,
Kathmandu Sports Climbing Centre,"27.7168741,85.3065128",27.7168741,85.3065128,,,
House of Palettes,"27.6827881,85.3021862",27.6827881,85.3021862,,,
Kathmandu Fun Park,"27.7009176,85.3196018",27.7009176,85.3196018,,,
Outdoor Adventure Centre Nepal,"27.7163094,85.313386",27.7163094,85.313386,,,
